mRNA,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
C21orf82|114036,4.260451493,-0.367800893,0.146454335,-2.511369116,0.012026387,0.035089538
ALOX5AP|241,516.3443206,-0.368162686,0.145654666,-2.527640861,0.011483175,0.033755774
SULF2|55959,8671.253253,-0.368513191,0.116824893,-3.154406409,0.00160825,0.006594363
CTSZ|1522,11942.31563,-0.369047883,0.068200275,-5.411237444,6.26E-08,1.10E-06
NCKAP5L|57701,718.7607164,-0.369532441,0.086567375,-4.2687264,1.97E-05,0.000156258
EXOC3L2|90332,118.9429194,-0.370420056,0.092518086,-4.00375833,6.23E-05,0.000418796
IYD|389434,1809.364631,-0.37085667,0.141756587,-2.616151231,0.008892716,0.027342641
LOC375190|375190,58.63385132,-0.37165526,0.150165023,-2.474978882,0.013324405,0.038071362
ACSS1|84532,4230.80163,-0.37171418,0.11572442,-3.212063467,0.001317853,0.00557065
TRAF1|7185,482.7178674,-0.372170837,0.100564261,-3.700826038,0.000214899,0.001209895
ADAMTS5|11096,275.2324641,-0.372219864,0.126126398,-2.951165411,0.003165773,0.011561201
CNPY4|245812,340.4654429,-0.372350915,0.082028302,-4.539298104,5.64E-06,5.29E-05
ZNF517|340385,408.3536876,-0.372672572,0.08954392,-4.161897009,3.16E-05,0.000235246
RBL1|5933,607.1182416,-0.372728526,0.095403533,-3.906862919,9.35E-05,0.000594171
TLR2|7097,335.271786,-0.372774171,0.137749065,-2.706182949,0.006806154,0.021931915
HNF4A|3172,9158.490078,-0.373045593,0.102518966,-3.638795894,0.000273916,0.001486908
ATP8B4|79895,77.71548483,-0.373085597,0.12231011,-3.050325097,0.002285938,0.008840659
SEMA4A|64218,593.7929809,-0.373223758,0.112190042,-3.326710215,0.000878777,0.003944733
RGS2|5997,928.580312,-0.373293935,0.151217119,-2.468595741,0.013564436,0.038664329
IL11RA|3590,202.2302292,-0.373752618,0.102423013,-3.649107826,0.000263153,0.001437063
ENPP1|5167,466.389198,-0.37410462,0.143523264,-2.606578273,0.009145192,0.027955602
KRT222|125113,49.83462168,-0.37417778,0.087116123,-4.295161061,1.75E-05,0.000141107
TBC1D5|9779,2552.942616,-0.374401397,0.060383599,-6.200382326,5.63E-10,1.93E-08
CA11|770,135.8803009,-0.374537893,0.146648044,-2.553991737,0.010649578,0.031720326
C20orf43|51507,6287.533538,-0.374884451,0.070154996,-5.34366005,9.11E-08,1.52E-06
DIDO1|11083,4867.935001,-0.37493399,0.068624241,-5.463579404,4.67E-08,8.55E-07
DHRS12|79758,485.581497,-0.37531905,0.104726603,-3.583798558,0.000338633,0.001779293
PLVAP|83483,4050.743451,-0.375482023,0.090112841,-4.166798205,3.09E-05,0.00023085
SH3RF3|344558,470.6720239,-0.375800315,0.121504123,-3.092901762,0.001982097,0.00786624
PCDHB15|56121,64.9806482,-0.376077092,0.1371852,-2.741382406,0.006118126,0.020067291
CHST15|51363,781.7060689,-0.376198063,0.157139934,-2.39403221,0.016664285,0.045839392
SEMA3C|10512,3364.148597,-0.376480047,0.11618632,-3.240313017,0.001193986,0.005123889
ZNF350|59348,297.3367025,-0.376748246,0.122286166,-3.080873799,0.002063941,0.008132945
APLF|200558,167.3279486,-0.376805353,0.12223251,-3.0826934,0.002051364,0.008094549
GLCCI1|113263,447.1916144,-0.376856562,0.09133012,-4.12631192,3.69E-05,0.000267968
C10orf47|254427,436.3379492,-0.377486516,0.135579037,-2.784254306,0.005365095,0.017992818
