Feature,TP,FP,TN,FN,Info Gain,CART Phi,p value,Chi Squared,Accuracy,Sensitivity,Specificity,Precison,Recall,F-Measure
PDE4A,5,0,271,103,0.208852203,0.037732959,0.001756485,0.002162149,0.72823219,0.046296296,1,1,0.046296296,0.088495575
PHF14,5,3,268,103,0.192402082,0.028710466,0.045256701,0.078798223,0.720316623,0.046296296,0.988929889,0.625,0.046296296,0.086206897
PLEKHA3,5,0,271,103,0.208852203,0.037732959,0.001756485,0.002162149,0.72823219,0.046296296,1,1,0.046296296,0.088495575
PLEKHA6,5,4,267,103,0.190253592,0.025702968,0.125958226,0.148053213,0.7176781,0.046296296,0.985239852,0.555555556,0.046296296,0.085470085
PPP2R5A,5,1,270,103,0.19978979,0.034725461,0.008120223,0.01096714,0.725593668,0.046296296,0.996309963,0.833333333,0.046296296,0.087719298
PTPRG,5,4,267,103,0.190253592,0.025702968,0.125958226,0.148053213,0.7176781,0.046296296,0.985239852,0.555555556,0.046296296,0.085470085
PUM2,5,2,269,103,0.195370914,0.031717964,0.021939599,0.034228125,0.722955145,0.046296296,0.992619926,0.714285714,0.046296296,0.086956522
RAB1A,5,5,266,103,0.188647059,0.02269547,0.155992133,0.241295004,0.715039578,0.046296296,0.981549815,0.5,0.046296296,0.084745763
RABL2B,5,0,271,103,0.208852203,0.037732959,0.001756485,0.002162149,0.72823219,0.046296296,1,1,0.046296296,0.088495575
RAC1,5,1,270,103,0.19978979,0.034725461,0.008120223,0.01096714,0.725593668,0.046296296,0.996309963,0.833333333,0.046296296,0.087719298
RCVRN,5,5,266,103,0.188647059,0.02269547,0.155992133,0.241295004,0.715039578,0.046296296,0.981549815,0.5,0.046296296,0.084745763
REEP1,5,4,267,103,0.190253592,0.025702968,0.125958226,0.148053213,0.7176781,0.046296296,0.985239852,0.555555556,0.046296296,0.085470085
RGPD4,5,7,264,103,0.18650723,0.016680474,0.33432729,0.482561999,0.709762533,0.046296296,0.974169742,0.416666667,0.046296296,0.083333333
RIMS2,5,2,269,103,0.195370914,0.031717964,0.021939599,0.034228125,0.722955145,0.046296296,0.992619926,0.714285714,0.046296296,0.086956522
SATB1,5,2,269,103,0.195370914,0.031717964,0.021939599,0.034228125,0.722955145,0.046296296,0.992619926,0.714285714,0.046296296,0.086956522
SENP2,5,0,271,103,0.208852203,0.037732959,0.001756485,0.002162149,0.72823219,0.046296296,1,1,0.046296296,0.088495575
SEPHS1,5,0,271,103,0.208852203,0.037732959,0.001756485,0.002162149,0.72823219,0.046296296,1,1,0.046296296,0.088495575
SGMS1,5,1,270,103,0.19978979,0.034725461,0.008120223,0.01096714,0.725593668,0.046296296,0.996309963,0.833333333,0.046296296,0.087719298
SHC4,5,0,271,103,0.208852203,0.037732959,0.001756485,0.002162149,0.72823219,0.046296296,1,1,0.046296296,0.088495575
SHCBP1L,5,1,270,103,0.19978979,0.034725461,0.008120223,0.01096714,0.725593668,0.046296296,0.996309963,0.833333333,0.046296296,0.087719298
SLC17A6,5,5,266,103,0.188647059,0.02269547,0.155992133,0.241295004,0.715039578,0.046296296,0.981549815,0.5,0.046296296,0.084745763
SLC25A16,5,2,269,103,0.195370914,0.031717964,0.021939599,0.034228125,0.722955145,0.046296296,0.992619926,0.714285714,0.046296296,0.086956522
SLC35B4,5,5,266,103,0.188647059,0.02269547,0.155992133,0.241295004,0.715039578,0.046296296,0.981549815,0.5,0.046296296,0.084745763
SLC35G1,5,2,269,103,0.195370914,0.031717964,0.021939599,0.034228125,0.722955145,0.046296296,0.992619926,0.714285714,0.046296296,0.086956522
SLC38A2,5,1,270,103,0.19978979,0.034725461,0.008120223,0.01096714,0.725593668,0.046296296,0.996309963,0.833333333,0.046296296,0.087719298
SLITRK1,5,10,261,103,0.184968077,0.007657981,0.770865204,0.895243867,0.701846966,0.046296296,0.963099631,0.333333333,0.046296296,0.081300813
SLMAP,5,0,271,103,0.208852203,0.037732959,0.001756485,0.002162149,0.72823219,0.046296296,1,1,0.046296296,0.088495575
SMAP1,5,9,262,103,0.185314583,0.010665479,0.552608145,0.758059189,0.704485488,0.046296296,0.966789668,0.357142857,0.046296296,0.081967213
SMEK1,5,1,270,103,0.19978979,0.034725461,0.008120223,0.01096714,0.725593668,0.046296296,0.996309963,0.833333333,0.046296296,0.087719298
SMTN,5,3,268,103,0.192402082,0.028710466,0.045256701,0.078798223,0.720316623,0.046296296,0.988929889,0.625,0.046296296,0.086206897
SORCS1,5,3,268,103,0.192402082,0.028710466,0.045256701,0.078798223,0.720316623,0.046296296,0.988929889,0.625,0.046296296,0.086206897
SOX11,5,7,264,103,0.18650723,0.016680474,0.33432729,0.482561999,0.709762533,0.046296296,0.974169742,0.416666667,0.046296296,0.083333333
SPEF2,5,12,259,103,0.184650607,0.001642985,1,0.849856249,0.696569921,0.046296296,0.955719557,0.294117647,0.046296296,0.08
SPEG,5,1,270,103,0.19978979,0.034725461,0.008120223,0.01096714,0.725593668,0.046296296,0.996309963,0.833333333,0.046296296,0.087719298
SPTBN1,5,4,267,103,0.190253592,0.025702968,0.125958226,0.148053213,0.7176781,0.046296296,0.985239852,0.555555556,0.046296296,0.085470085
SRRM2,5,2,269,103,0.195370914,0.031717964,0.021939599,0.034228125,0.722955145,0.046296296,0.992619926,0.714285714,0.046296296,0.086956522
SSPO,5,3,268,103,0.192402082,0.028710466,0.045256701,0.078798223,0.720316623,0.046296296,0.988929889,0.625,0.046296296,0.086206897
ST3GAL1,5,1,270,103,0.19978979,0.034725461,0.008120223,0.01096714,0.725593668,0.046296296,0.996309963,0.833333333,0.046296296,0.087719298
ST8SIA3,5,4,267,103,0.190253592,0.025702968,0.125958226,0.148053213,0.7176781,0.046296296,0.985239852,0.555555556,0.046296296,0.085470085
STK3,5,8,263,103,0.185816887,0.013672976,0.531496574,0.618913144,0.707124011,0.046296296,0.970479705,0.384615385,0.046296296,0.082644628
SUCO,5,11,260,103,0.184753033,0.004650483,0.781776385,0.973199021,0.699208443,0.046296296,0.959409594,0.3125,0.046296296,0.080645161
SVIL,5,5,266,103,0.188647059,0.02269547,0.155992133,0.241295004,0.715039578,0.046296296,0.981549815,0.5,0.046296296,0.084745763
TBX4,5,2,269,103,0.195370914,0.031717964,0.021939599,0.034228125,0.722955145,0.046296296,0.992619926,0.714285714,0.046296296,0.086956522
TEAD2,5,3,268,103,0.192402082,0.028710466,0.045256701,0.078798223,0.720316623,0.046296296,0.988929889,0.625,0.046296296,0.086206897
TIMP3,5,2,269,103,0.195370914,0.031717964,0.021939599,0.034228125,0.722955145,0.046296296,0.992619926,0.714285714,0.046296296,0.086956522
TMEM64,5,2,269,103,0.195370914,0.031717964,0.021939599,0.034228125,0.722955145,0.046296296,0.992619926,0.714285714,0.046296296,0.086956522
TMOD3,5,2,269,103,0.195370914,0.031717964,0.021939599,0.034228125,0.722955145,0.046296296,0.992619926,0.714285714,0.046296296,0.086956522
TRAPPC8,5,10,261,103,0.184968077,0.007657981,0.770865204,0.895243867,0.701846966,0.046296296,0.963099631,0.333333333,0.046296296,0.081300813
TRIO,5,4,267,103,0.190253592,0.025702968,0.125958226,0.148053213,0.7176781,0.046296296,0.985239852,0.555555556,0.046296296,0.085470085
UBE2G1,5,0,271,103,0.208852203,0.037732959,0.001756485,0.002162149,0.72823219,0.046296296,1,1,0.046296296,0.088495575
UBL3,5,6,265,103,0.187429699,0.019687972,0.306001416,0.354665153,0.712401055,0.046296296,0.977859779,0.454545455,0.046296296,0.084033613
UBQLN2,5,3,268,103,0.192402082,0.028710466,0.045256701,0.078798223,0.720316623,0.046296296,0.988929889,0.625,0.046296296,0.086206897
UBR3,5,7,264,103,0.18650723,0.016680474,0.33432729,0.482561999,0.709762533,0.046296296,0.974169742,0.416666667,0.046296296,0.083333333
UBTF,5,1,270,103,0.19978979,0.034725461,0.008120223,0.01096714,0.725593668,0.046296296,0.996309963,0.833333333,0.046296296,0.087719298
UCK2,5,6,265,103,0.187429699,0.019687972,0.306001416,0.354665153,0.712401055,0.046296296,0.977859779,0.454545455,0.046296296,0.084033613
UHRF2,5,4,267,103,0.190253592,0.025702968,0.125958226,0.148053213,0.7176781,0.046296296,0.985239852,0.555555556,0.046296296,0.085470085
USP28,5,1,270,103,0.19978979,0.034725461,0.008120223,0.01096714,0.725593668,0.046296296,0.996309963,0.833333333,0.046296296,0.087719298
USP40,5,7,264,103,0.18650723,0.016680474,0.33432729,0.482561999,0.709762533,0.046296296,0.974169742,0.416666667,0.046296296,0.083333333
USP44,5,2,269,103,0.195370914,0.031717964,0.021939599,0.034228125,0.722955145,0.046296296,0.992619926,0.714285714,0.046296296,0.086956522
UTRN,5,10,261,103,0.184968077,0.007657981,0.770865204,0.895243867,0.701846966,0.046296296,0.963099631,0.333333333,0.046296296,0.081300813
WDR87,5,7,264,103,0.18650723,0.016680474,0.33432729,0.482561999,0.709762533,0.046296296,0.974169742,0.416666667,0.046296296,0.083333333
WWC2,5,11,260,103,0.184753033,0.004650483,0.781776385,0.973199021,0.699208443,0.046296296,0.959409594,0.3125,0.046296296,0.080645161
XRRA1,5,3,268,103,0.192402082,0.028710466,0.045256701,0.078798223,0.720316623,0.046296296,0.988929889,0.625,0.046296296,0.086206897
XYLT2,5,3,268,103,0.192402082,0.028710466,0.045256701,0.078798223,0.720316623,0.046296296,0.988929889,0.625,0.046296296,0.086206897
ZDBF2,5,6,265,103,0.187429699,0.019687972,0.306001416,0.354665153,0.712401055,0.046296296,0.977859779,0.454545455,0.046296296,0.084033613
ZFP37,5,2,269,103,0.195370914,0.031717964,0.021939599,0.034228125,0.722955145,0.046296296,0.992619926,0.714285714,0.046296296,0.086956522
ZMYM2,5,5,266,103,0.188647059,0.02269547,0.155992133,0.241295004,0.715039578,0.046296296,0.981549815,0.5,0.046296296,0.084745763
ZNF14,5,8,263,103,0.185816887,0.013672976,0.531496574,0.618913144,0.707124011,0.046296296,0.970479705,0.384615385,0.046296296,0.082644628
ZNF2,5,1,270,103,0.19978979,0.034725461,0.008120223,0.01096714,0.725593668,0.046296296,0.996309963,0.833333333,0.046296296,0.087719298
ZNF518B,5,9,262,103,0.185314583,0.010665479,0.552608145,0.758059189,0.704485488,0.046296296,0.966789668,0.357142857,0.046296296,0.081967213
ZNF626,5,1,270,103,0.19978979,0.034725461,0.008120223,0.01096714,0.725593668,0.046296296,0.996309963,0.833333333,0.046296296,0.087719298
ZNF675,5,4,267,103,0.190253592,0.025702968,0.125958226,0.148053213,0.7176781,0.046296296,0.985239852,0.555555556,0.046296296,0.085470085
ZNF681,5,3,268,103,0.192402082,0.028710466,0.045256701,0.078798223,0.720316623,0.046296296,0.988929889,0.625,0.046296296,0.086206897
ZNF697,5,5,266,103,0.188647059,0.02269547,0.155992133,0.241295004,0.715039578,0.046296296,0.981549815,0.5,0.046296296,0.084745763
ZNF91,5,7,264,103,0.18650723,0.016680474,0.33432729,0.482561999,0.709762533,0.046296296,0.974169742,0.416666667,0.046296296,0.083333333
ABCA12,4,6,265,104,0.185827555,0.01214138,0.479751231,0.644245422,0.709762533,0.037037037,0.977859779,0.4,0.037037037,0.06779661
ABI3BP,4,4,267,104,0.18782572,0.018156376,0.231749986,0.334015527,0.715039578,0.037037037,0.985239852,0.5,0.037037037,0.068965517
ACKR3,4,1,270,104,0.195671086,0.02717887,0.024641465,0.038483302,0.722955145,0.037037037,0.996309963,0.8,0.037037037,0.07079646
ADAMTS1,4,2,269,104,0.191899817,0.024171372,0.057683948,0.102661487,0.720316623,0.037037037,0.992619926,0.666666667,0.037037037,0.070175439
ADAMTSL4,4,2,269,104,0.191899817,0.024171372,0.057683948,0.102661487,0.720316623,0.037037037,0.992619926,0.666666667,0.037037037,0.070175439
ADRBK1,4,3,268,104,0.18948688,0.021163874,0.105343079,0.203299103,0.7176781,0.037037037,0.988929889,0.571428571,0.037037037,0.069565217
AGAP5,4,5,266,104,0.186653303,0.015148878,0.281632152,0.484511767,0.712401055,0.037037037,0.981549815,0.444444444,0.037037037,0.068376068
AGO2,4,3,268,104,0.18948688,0.021163874,0.105343079,0.203299103,0.7176781,0.037037037,0.988929889,0.571428571,0.037037037,0.069565217
ALPK3,4,3,268,104,0.18948688,0.021163874,0.105343079,0.203299103,0.7176781,0.037037037,0.988929889,0.571428571,0.037037037,0.069565217
ALYREF,4,0,271,104,0.203956846,0.030186367,0.006333481,0.008583897,0.725593668,0.037037037,1,1,0.037037037,0.071428571
AMFR,4,2,269,104,0.191899817,0.024171372,0.057683948,0.102661487,0.720316623,0.037037037,0.992619926,0.666666667,0.037037037,0.070175439
AMOTL1,4,4,267,104,0.18782572,0.018156376,0.231749986,0.334015527,0.715039578,0.037037037,0.985239852,0.5,0.037037037,0.068965517
ANKRD20A8P,4,4,267,104,0.18782572,0.018156376,0.231749986,0.334015527,0.715039578,0.037037037,0.985239852,0.5,0.037037037,0.068965517
ANKRD36BP2,4,2,269,104,0.191899817,0.024171372,0.057683948,0.102661487,0.720316623,0.037037037,0.992619926,0.666666667,0.037037037,0.070175439
ANO10,4,2,269,104,0.191899817,0.024171372,0.057683948,0.102661487,0.720316623,0.037037037,0.992619926,0.666666667,0.037037037,0.070175439
AOX1,4,2,269,104,0.191899817,0.024171372,0.057683948,0.102661487,0.720316623,0.037037037,0.992619926,0.666666667,0.037037037,0.070175439
AP1S2,4,2,269,104,0.191899817,0.024171372,0.057683948,0.102661487,0.720316623,0.037037037,0.992619926,0.666666667,0.037037037,0.070175439
ARCN1,4,4,267,104,0.18782572,0.018156376,0.231749986,0.334015527,0.715039578,0.037037037,0.985239852,0.5,0.037037037,0.068965517
ARFGAP1,4,4,267,104,0.18782572,0.018156376,0.231749986,0.334015527,0.715039578,0.037037037,0.985239852,0.5,0.037037037,0.068965517
ARFIP1,4,2,269,104,0.191899817,0.024171372,0.057683948,0.102661487,0.720316623,0.037037037,0.992619926,0.666666667,0.037037037,0.070175439
ARHGAP22,4,3,268,104,0.18948688,0.021163874,0.105343079,0.203299103,0.7176781,0.037037037,0.988929889,0.571428571,0.037037037,0.069565217
ATAD2B,4,1,270,104,0.195671086,0.02717887,0.024641465,0.038483302,0.722955145,0.037037037,0.996309963,0.8,0.037037037,0.07079646
ATG7,4,1,270,104,0.195671086,0.02717887,0.024641465,0.038483302,0.722955145,0.037037037,0.996309963,0.8,0.037037037,0.07079646
ATP11B,4,6,265,104,0.185827555,0.01214138,0.479751231,0.644245422,0.709762533,0.037037037,0.977859779,0.4,0.037037037,0.06779661
ATP11C,4,8,263,104,0.184899574,0.006126385,0.74783199,0.958289886,0.704485488,0.037037037,0.970479705,0.333333333,0.037037037,0.066666667
ATP2A1,4,4,267,104,0.18782572,0.018156376,0.231749986,0.334015527,0.715039578,0.037037037,0.985239852,0.5,0.037037037,0.068965517
ATP6AP2,4,4,267,104,0.18782572,0.018156376,0.231749986,0.334015527,0.715039578,0.037037037,0.985239852,0.5,0.037037037,0.068965517
ATP9B,4,2,269,104,0.191899817,0.024171372,0.057683948,0.102661487,0.720316623,0.037037037,0.992619926,0.666666667,0.037037037,0.070175439
AVEN,4,1,270,104,0.195671086,0.02717887,0.024641465,0.038483302,0.722955145,0.037037037,0.996309963,0.8,0.037037037,0.07079646
BAZ1B,4,2,269,104,0.191899817,0.024171372,0.057683948,0.102661487,0.720316623,0.037037037,0.992619926,0.666666667,0.037037037,0.070175439
BCLAF1,4,8,263,104,0.184899574,0.006126385,0.74783199,0.958289886,0.704485488,0.037037037,0.970479705,0.333333333,0.037037037,0.066666667
BDNF,4,0,271,104,0.203956846,0.030186367,0.006333481,0.008583897,0.725593668,0.037037037,1,1,0.037037037,0.071428571
BEX4,4,2,269,104,0.191899817,0.024171372,0.057683948,0.102661487,0.720316623,0.037037037,0.992619926,0.666666667,0.037037037,0.070175439
BIN1,4,4,267,104,0.18782572,0.018156376,0.231749986,0.334015527,0.715039578,0.037037037,0.985239852,0.5,0.037037037,0.068965517
BLNK,4,2,269,104,0.191899817,0.024171372,0.057683948,0.102661487,0.720316623,0.037037037,0.992619926,0.666666667,0.037037037,0.070175439
BRSK1,4,2,269,104,0.191899817,0.024171372,0.057683948,0.102661487,0.720316623,0.037037037,0.992619926,0.666666667,0.037037037,0.070175439
C11orf58,4,2,269,104,0.191899817,0.024171372,0.057683948,0.102661487,0.720316623,0.037037037,0.992619926,0.666666667,0.037037037,0.070175439
