Feature,TP,FP,TN,FN,Info Gain,CART Phi,p value,Chi Squared,Accuracy,Sensitivity,Specificity,Precison,Recall,F-Measure
C1R,4,0,271,104,0.203956846,0.030186367,0.006333481,0.008583897,0.725593668,0.037037037,1,1,0.037037037,0.071428571
C5orf30,4,4,267,104,0.18782572,0.018156376,0.231749986,0.334015527,0.715039578,0.037037037,0.985239852,0.5,0.037037037,0.068965517
C6orf106,4,2,269,104,0.191899817,0.024171372,0.057683948,0.102661487,0.720316623,0.037037037,0.992619926,0.666666667,0.037037037,0.070175439
C7orf43,4,0,271,104,0.203956846,0.030186367,0.006333481,0.008583897,0.725593668,0.037037037,1,1,0.037037037,0.071428571
CABLES2,4,2,269,104,0.191899817,0.024171372,0.057683948,0.102661487,0.720316623,0.037037037,0.992619926,0.666666667,0.037037037,0.070175439
CACUL1,4,4,267,104,0.18782572,0.018156376,0.231749986,0.334015527,0.715039578,0.037037037,0.985239852,0.5,0.037037037,0.068965517
CAPN12,4,1,270,104,0.195671086,0.02717887,0.024641465,0.038483302,0.722955145,0.037037037,0.996309963,0.8,0.037037037,0.07079646
CAPZA2,4,0,271,104,0.203956846,0.030186367,0.006333481,0.008583897,0.725593668,0.037037037,1,1,0.037037037,0.071428571
CARD11,4,4,267,104,0.18782572,0.018156376,0.231749986,0.334015527,0.715039578,0.037037037,0.985239852,0.5,0.037037037,0.068965517
CASP7,4,0,271,104,0.203956846,0.030186367,0.006333481,0.008583897,0.725593668,0.037037037,1,1,0.037037037,0.071428571
CC2D2B,4,3,268,104,0.18948688,0.021163874,0.105343079,0.203299103,0.7176781,0.037037037,0.988929889,0.571428571,0.037037037,0.069565217
CCNE2,4,2,269,104,0.191899817,0.024171372,0.057683948,0.102661487,0.720316623,0.037037037,0.992619926,0.666666667,0.037037037,0.070175439
CCR5,4,4,267,104,0.18782572,0.018156376,0.231749986,0.334015527,0.715039578,0.037037037,0.985239852,0.5,0.037037037,0.068965517
CD2AP,4,0,271,104,0.203956846,0.030186367,0.006333481,0.008583897,0.725593668,0.037037037,1,1,0.037037037,0.071428571
CD3G,4,5,266,104,0.186653303,0.015148878,0.281632152,0.484511767,0.712401055,0.037037037,0.981549815,0.444444444,0.037037037,0.068376068
CDC7,4,1,270,104,0.195671086,0.02717887,0.024641465,0.038483302,0.722955145,0.037037037,0.996309963,0.8,0.037037037,0.07079646
CEP97,4,2,269,104,0.191899817,0.024171372,0.057683948,0.102661487,0.720316623,0.037037037,0.992619926,0.666666667,0.037037037,0.070175439
CHM,4,0,271,104,0.203956846,0.030186367,0.006333481,0.008583897,0.725593668,0.037037037,1,1,0.037037037,0.071428571
CMIP,4,2,269,104,0.191899817,0.024171372,0.057683948,0.102661487,0.720316623,0.037037037,0.992619926,0.666666667,0.037037037,0.070175439
