row,log2FoldChange,pvalue,padj
AIRE|326,-2.7748505688604506,3.0052671775842407e-09,2.4579832638634303e-08
ASXL1|171023,-0.2496849727117,0.0039193313764373,0.0096870896837343
BRD8|10902,0.256402161786601,0.0010557015282498,0.0030030919579418
BRPF3|27154,-0.248340286892428,0.0084812478804193,0.0190203489287235
C14orf106|55320,0.263652017772598,0.0079683257732737,0.0180036332962811
CBX7|23492,-1.09093065307524,1.9831844786587398e-10,1.9715988648658904e-09
CDKN2A|1029,-1.38294984266455,3.55004849298581e-05,0.0001394066938752
CENPA|1058,0.601435974398114,0.0001890678329898,0.0006360153963251
CENPM|79019,0.684946709654613,6.20267837668041e-06,2.84572813335195e-05
CENPW|387103,0.39667340515587,0.0039640598482418,0.009788583829624
CHD6|84181,-0.364704357350321,0.0013957527316724,0.0038419720768109
DIDO1|11083,-0.316492651965533,0.0002656647958551,0.000865087277836
DNMT3A|1788,-0.491000552991441,6.99986408234333e-05,0.0002591485329644
DOT1L|84444,0.3003840267921789,0.0030326996469135,0.0077038635912753
ELP3|55140,0.478147445388853,1.3735452383007e-09,1.17663555925666e-08
ESR1|2099,-1.3422444644108895,7.177465800289597e-10,6.5121353011498505e-09
FTO|79068,-0.231345732505922,0.0162936565360912,0.0336971853055947
HDAC5|10014,-0.908317700531136,8.83413978586472e-18,2.9089457691633596e-16
HJURP|55355,0.588198021428769,0.0001921972768286,0.0006458989467401
HMGA1|3159,0.4144763159628329,0.0035466519105612,0.0088703529505712
INTS12|57117,0.5313055925371211,1.35056942014626e-13,2.19681777729976e-12
L3MBTL|26013,-1.1474127637308702,6.632681098682141e-09,5.13449636580321e-08
LMNB2|84823,0.490385724731628,1.9729044719807607e-05,8.17542223492581e-05
MTA2|9219,0.248532385249746,0.0006892274678962,0.0020444624948536
PHF20|51230,-0.267463299367122,0.0006320510426153,0.0018906448543578
PRDM6|93166,-1.9051646242096696,9.194213012333321e-14,1.5349712095034e-12
SATB2|23314,0.523021340356989,0.0105137739320859,0.0229854729459863
TDRD10|126668,-1.76228116253573,1.76239574900716e-14,3.289426388308211e-13
TDRKH|11022,-0.560990577704823,3.44433377961367e-05,0.000135779775769
TET2|54790,0.304604481539168,0.0015239631438811,0.0041581484272078
UHRF1|29128,0.955283701002273,1.87857039806974e-10,1.87293251921001e-09
ZGPAT|84619,-0.332267137554742,0.0002642169068976,0.0008606492812584
