Seperator Type,Three-Fold Run,TP,FP,FN,TN,Accuracy,Sensitivity,Specificity,Precision,Miss Rate,False discovery rate,False omission rate,ROC_AUC,PR Logistic,Included Muts
Pval<0.005,0,3,0,2,18,0.9130434782608695,0.6,1.0,1.0,0.4,0.0,0.1,0.8,0.8434782608695652,31
Pval<0.005,1,7,0,4,12,0.8260869565217391,0.6363636363636364,1.0,1.0,0.36363636363636365,0.0,0.25,0.8181818181818181,0.9051383399209486,31
Pval<0.005,2,4,1,4,14,0.782608695652174,0.5,0.9333333333333333,0.8,0.5,0.2,0.2222222222222222,0.7708333333333333,0.7589673913043478,31
Pval<0.005,3,4,0,8,11,0.6521739130434783,0.3333333333333333,1.0,1.0,0.6666666666666666,0.0,0.42105263157894735,0.75,0.8804347826086957,31
Pval<0.005,4,7,1,5,10,0.7391304347826086,0.5833333333333334,0.9090909090909091,0.875,0.4166666666666667,0.125,0.3333333333333333,0.7272727272727273,0.8349853347135957,31
Pval<0.005,5,3,1,5,14,0.7391304347826086,0.375,0.9333333333333333,0.75,0.625,0.25,0.2631578947368421,0.7,0.7223731884057971,31
Pval<0.005,6,4,0,12,7,0.4782608695652174,0.25,1.0,1.0,0.75,0.0,0.631578947368421,0.65625,0.8953804347826086,31
Pval<0.005,7,5,0,5,13,0.782608695652174,0.5,1.0,1.0,0.5,0.0,0.2777777777777778,0.8,0.8869565217391303,31
Pval<0.005,8,5,1,1,16,0.9130434782608695,0.8333333333333334,0.9411764705882353,0.8333333333333334,0.16666666666666666,0.16666666666666666,0.058823529411764705,0.9019607843137255,0.8939613526570047,31
Pval<0.005,9,7,0,3,13,0.8695652173913043,0.7,1.0,1.0,0.3,0.0,0.1875,0.9,0.9434782608695652,31
Pval<0.005,10,5,0,2,16,0.9130434782608695,0.7142857142857143,1.0,1.0,0.2857142857142857,0.0,0.1111111111111111,0.8571428571428572,0.9006211180124224,31
